district,latitude,longitude,predicted_risk,risk_level
Nagpur,21.1458,79.0882,4.359575,Low
Khordha,20.1734,85.6745,97.10872,Critical
Belagavi,15.8497,74.4977,1.8804137,Low
Thane,19.2183,72.9781,1.5781081,Low
Pune,18.5204,73.8567,96.70795,Critical
Ahmedabad,23.0225,72.5714,0.7189539,Low
Sambalpur,21.4669,83.9812,1.6220508,Low
Thane,19.2183,72.9781,62.017567,Medium
Ballari,15.1394,76.9214,77.29893,High
Agra,27.1767,78.0081,2.7427285,Low
Sundargarh,22.1167,84.0333,90.615585,Critical
Surat,21.1702,72.8311,85.88842,Critical
Madurai,9.9252,78.1198,4.152289,Low
Nagpur,21.1458,79.0882,6.8492436,Low
Belagavi,15.8497,74.4977,1.7623358,Low
Jajpur,20.85,86.333,5.7482114,Low
Tumakuru,13.3409,77.101,92.33648,Critical
Bengaluru Urban,12.9716,77.5946,5.2674923,Low
Madurai,9.9252,78.1198,2.4896123,Low
Kutch,23.7337,69.8597,87.61285,Critical
Jajpur,20.85,86.333,18.563725,Low
Nashik,19.9975,73.7898,11.844055,Low
Ahmedabad,23.0225,72.5714,17.17665,Low
Thane,19.2183,72.9781,3.7852957,Low
Prayagraj,25.4358,81.8463,2.2929072,Low
Mysuru,12.2958,76.6394,0.98858094,Low
Prayagraj,25.4358,81.8463,1.1978841,Low
Belagavi,15.8497,74.4977,5.748288,Low
Madurai,9.9252,78.1198,1.7896237,Low
Vadodara,22.3072,73.1812,22.00717,Low
Thane,19.2183,72.9781,96.30952,Critical
Madurai,9.9252,78.1198,95.91513,Critical
Nagpur,21.1458,79.0882,2.8034234,Low
Vadodara,22.3072,73.1812,98.22688,Critical
Jajpur,20.85,86.333,83.641884,Critical
Prayagraj,25.4358,81.8463,7.5225763,Low
Varanasi,25.3176,82.9739,92.896095,Critical
Nashik,19.9975,73.7898,22.901163,Low
Aurangabad,19.8762,75.3433,2.4315202,Low
Nagpur,21.1458,79.0882,83.08933,Critical
Bharuch,21.7051,72.9959,1.949862,Low
Angul,20.8444,85.1511,2.652134,Low
Prayagraj,25.4358,81.8463,13.401196,Low
Madurai,9.9252,78.1198,8.182608,Low
Tumakuru,13.3409,77.101,2.3200626,Low
Ahmedabad,23.0225,72.5714,89.079,Critical
Agra,27.1767,78.0081,99.19353,Critical
Angul,20.8444,85.1511,81.91579,Critical
Kutch,23.7337,69.8597,10.206624,Low
Tiruvallur,13.1439,79.9089,95.74928,Critical
Agra,27.1767,78.0081,70.466896,High
Ahmedabad,23.0225,72.5714,26.658558,Low
Prayagraj,25.4358,81.8463,1.8538307,Low
Varanasi,25.3176,82.9739,89.96225,Critical
Khordha,20.1734,85.6745,8.74164,Low
Bengaluru Urban,12.9716,77.5946,97.4882,Critical
Sundargarh,22.1167,84.0333,98.532005,Critical
Varanasi,25.3176,82.9739,93.62055,Critical
Ahmedabad,23.0225,72.5714,10.274204,Low
Tiruvallur,13.1439,79.9089,9.325643,Low
Angul,20.8444,85.1511,91.50245,Critical
Tumakuru,13.3409,77.101,71.500244,High
Gautam Buddha Nagar,28.5355,77.391,75.13628,High
Tiruvallur,13.1439,79.9089,1.7624077,Low
Sundargarh,22.1167,84.0333,31.993872,Low
Khordha,20.1734,85.6745,0.89556956,Low
Sambalpur,21.4669,83.9812,97.817,Critical
Jajpur,20.85,86.333,1.4442829,Low
Madurai,9.9252,78.1198,2.7299533,Low
Kutch,23.7337,69.8597,97.00875,Critical
Bengaluru Urban,12.9716,77.5946,89.03431,Critical
Mysuru,12.2958,76.6394,12.34041,Low
Prayagraj,25.4358,81.8463,98.86966,Critical
Nashik,19.9975,73.7898,2.312514,Low
Vadodara,22.3072,73.1812,96.98185,Critical
Prayagraj,25.4358,81.8463,20.085817,Low
Prayagraj,25.4358,81.8463,91.165085,Critical
Jajpur,20.85,86.333,14.499523,Low
Thane,19.2183,72.9781,91.518166,Critical
Aurangabad,19.8762,75.3433,1.0262755,Low
Ahmedabad,23.0225,72.5714,5.9673223,Low
Nashik,19.9975,73.7898,1.318887,Low
Agra,27.1767,78.0081,3.5793703,Low
Aurangabad,19.8762,75.3433,80.066414,Critical
Thane,19.2183,72.9781,89.52103,Critical
Ballari,15.1394,76.9214,65.42823,High
Varanasi,25.3176,82.9739,3.0084,Low
Madurai,9.9252,78.1198,21.114805,Low
Nagpur,21.1458,79.0882,5.986281,Low
Pune,18.5204,73.8567,6.183465,Low
Jajpur,20.85,86.333,88.874214,Critical
Nashik,19.9975,73.7898,5.968105,Low
Thane,19.2183,72.9781,3.4127104,Low
Ballari,15.1394,76.9214,67.46127,High
Gautam Buddha Nagar,28.5355,77.391,96.24978,Critical
Surat,21.1702,72.8311,88.92562,Critical
Lucknow,26.8467,80.9462,6.1893244,Low
Khordha,20.1734,85.6745,19.160326,Low
Gautam Buddha Nagar,28.5355,77.391,5.448436,Low
Nagpur,21.1458,79.0882,86.940125,Critical
Sundargarh,22.1167,84.0333,30.710712,Low
Agra,27.1767,78.0081,89.75041,Critical
Sambalpur,21.4669,83.9812,5.6170154,Low
Vadodara,22.3072,73.1812,20.50744,Low
Prayagraj,25.4358,81.8463,0.96160525,Low
Salem,11.6643,78.146,86.77186,Critical
Pune,18.5204,73.8567,98.069214,Critical
Sundargarh,22.1167,84.0333,98.81684,Critical
Coimbatore,11.0168,76.9558,7.097417,Low
Kanchipuram,12.8342,79.7036,1.3955978,Low
Bengaluru Urban,12.9716,77.5946,1.7108395,Low
Angul,20.8444,85.1511,6.7128873,Low
Kanchipuram,12.8342,79.7036,12.564529,Low
Tumakuru,13.3409,77.101,3.479447,Low
Madurai,9.9252,78.1198,1.8500854,Low
Nagpur,21.1458,79.0882,3.6504793,Low
Surat,21.1702,72.8311,3.5031757,Low
Belagavi,15.8497,74.4977,9.1066885,Low
Kutch,23.7337,69.8597,6.2093887,Low
Sambalpur,21.4669,83.9812,7.114674,Low
Nashik,19.9975,73.7898,0.8700722,Low
Tumakuru,13.3409,77.101,94.87995,Critical
Angul,20.8444,85.1511,2.5330474,Low
Tiruvallur,13.1439,79.9089,0.80184126,Low
Varanasi,25.3176,82.9739,97.50097,Critical
Angul,20.8444,85.1511,2.4502802,Low
Vadodara,22.3072,73.1812,1.7164066,Low
Nagpur,21.1458,79.0882,98.21429,Critical
Pune,18.5204,73.8567,9.885856,Low
Khordha,20.1734,85.6745,82.29193,Critical
Tiruvallur,13.1439,79.9089,1.7711096,Low
Prayagraj,25.4358,81.8463,23.427114,Low
Vadodara,22.3072,73.1812,99.81097,Critical
Angul,20.8444,85.1511,86.14748,Critical
Jajpur,20.85,86.333,89.117775,Critical
Nashik,19.9975,73.7898,2.4539742,Low
Vadodara,22.3072,73.1812,94.90371,Critical
Varanasi,25.3176,82.9739,92.93048,Critical
Nagpur,21.1458,79.0882,2.9210253,Low
Sambalpur,21.4669,83.9812,0.60403466,Low
Thane,19.2183,72.9781,1.5317606,Low
Thane,19.2183,72.9781,5.436469,Low
Tumakuru,13.3409,77.101,0.936051,Low
Thane,19.2183,72.9781,67.958244,High
Tiruvallur,13.1439,79.9089,2.4924517,Low
Pune,18.5204,73.8567,93.36818,Critical
Salem,11.6643,78.146,3.5684686,Low
Ahmedabad,23.0225,72.5714,2.4003413,Low
Nagpur,21.1458,79.0882,17.907236,Low
Prayagraj,25.4358,81.8463,98.4247,Critical
Coimbatore,11.0168,76.9558,11.6757,Low
Salem,11.6643,78.146,11.493156,Low
Sundargarh,22.1167,84.0333,6.785167,Low
Bharuch,21.7051,72.9959,21.496292,Low
Pune,18.5204,73.8567,6.335252,Low
Lucknow,26.8467,80.9462,7.00995,Low
Jajpur,20.85,86.333,3.702512,Low
Ahmedabad,23.0225,72.5714,4.138174,Low
Tiruvallur,13.1439,79.9089,97.01432,Critical
Varanasi,25.3176,82.9739,0.5431511,Low
Thane,19.2183,72.9781,90.049385,Critical
Belagavi,15.8497,74.4977,22.261782,Low
Ballari,15.1394,76.9214,79.92743,High
Vadodara,22.3072,73.1812,23.000517,Low
Varanasi,25.3176,82.9739,2.049697,Low
Angul,20.8444,85.1511,21.990028,Low
Gautam Buddha Nagar,28.5355,77.391,1.2512816,Low
Salem,11.6643,78.146,3.5528448,Low
Tumakuru,13.3409,77.101,56.94224,Medium
Ahmedabad,23.0225,72.5714,90.06313,Critical
Nagpur,21.1458,79.0882,12.5013275,Low
Lucknow,26.8467,80.9462,1.0420825,Low
Mysuru,12.2958,76.6394,4.0916214,Low
Angul,20.8444,85.1511,5.585795,Low
Surat,21.1702,72.8311,2.168338,Low
Pune,18.5204,73.8567,96.13423,Critical
Varanasi,25.3176,82.9739,2.9662204,Low
Sambalpur,21.4669,83.9812,99.2415,Critical
Thane,19.2183,72.9781,16.05124,Low
Salem,11.6643,78.146,3.114783,Low
Bengaluru Urban,12.9716,77.5946,97.13741,Critical
Salem,11.6643,78.146,14.682113,Low
Mysuru,12.2958,76.6394,1.6372379,Low
Jajpur,20.85,86.333,75.280624,High
Coimbatore,11.0168,76.9558,80.92887,Critical
Bengaluru Urban,12.9716,77.5946,2.563126,Low
Kutch,23.7337,69.8597,37.07715,Low
Sundargarh,22.1167,84.0333,98.415764,Critical
Bengaluru Urban,12.9716,77.5946,1.1170876,Low
Gautam Buddha Nagar,28.5355,77.391,11.623129,Low
Belagavi,15.8497,74.4977,20.713732,Low
Coimbatore,11.0168,76.9558,94.870384,Critical
Vadodara,22.3072,73.1812,0.87040293,Low
Aurangabad,19.8762,75.3433,0.7054594,Low
Nashik,19.9975,73.7898,36.810062,Low
Tumakuru,13.3409,77.101,8.2624,Low
Pune,18.5204,73.8567,90.089966,Critical
Ballari,15.1394,76.9214,98.61274,Critical
Kutch,23.7337,69.8597,26.802986,Low
Nagpur,21.1458,79.0882,7.578165,Low
Madurai,9.9252,78.1198,88.63652,Critical
Madurai,9.9252,78.1198,4.8064895,Low
Gautam Buddha Nagar,28.5355,77.391,80.3965,Critical
Tumakuru,13.3409,77.101,1.7976669,Low
Aurangabad,19.8762,75.3433,91.776344,Critical
Coimbatore,11.0168,76.9558,96.70412,Critical
Vadodara,22.3072,73.1812,5.8155203,Low
Surat,21.1702,72.8311,1.0274992,Low
Prayagraj,25.4358,81.8463,21.023119,Low
Vadodara,22.3072,73.1812,7.822489,Low
Kutch,23.7337,69.8597,3.5057585,Low
Pune,18.5204,73.8567,88.97564,Critical
Tumakuru,13.3409,77.101,6.487221,Low
Sundargarh,22.1167,84.0333,98.26244,Critical
Ahmedabad,23.0225,72.5714,84.276115,Critical
Bharuch,21.7051,72.9959,14.557854,Low
Sundargarh,22.1167,84.0333,94.44367,Critical
Kutch,23.7337,69.8597,98.04833,Critical
Nagpur,21.1458,79.0882,9.1041765,Low
Nashik,19.9975,73.7898,2.7946055,Low
Sundargarh,22.1167,84.0333,8.645202,Low
Kanchipuram,12.8342,79.7036,5.2956753,Low
Surat,21.1702,72.8311,98.12788,Critical
Salem,11.6643,78.146,95.76116,Critical
Bharuch,21.7051,72.9959,10.916997,Low
Belagavi,15.8497,74.4977,96.955635,Critical
Bharuch,21.7051,72.9959,1.7503626,Low
Pune,18.5204,73.8567,6.1152134,Low
Lucknow,26.8467,80.9462,11.121512,Low
Prayagraj,25.4358,81.8463,90.55551,Critical
Varanasi,25.3176,82.9739,11.185007,Low
Gautam Buddha Nagar,28.5355,77.391,96.327194,Critical
Tiruvallur,13.1439,79.9089,7.67635,Low
Tiruvallur,13.1439,79.9089,3.3840373,Low
Ahmedabad,23.0225,72.5714,95.24027,Critical
Coimbatore,11.0168,76.9558,97.0566,Critical
Kutch,23.7337,69.8597,94.713394,Critical
Belagavi,15.8497,74.4977,2.752695,Low
Vadodara,22.3072,73.1812,99.45913,Critical
Varanasi,25.3176,82.9739,21.923164,Low
Angul,20.8444,85.1511,3.704377,Low
Jajpur,20.85,86.333,98.08396,Critical
Thane,19.2183,72.9781,9.921176,Low
Aurangabad,19.8762,75.3433,78.83621,High
Ahmedabad,23.0225,72.5714,95.871666,Critical
Angul,20.8444,85.1511,3.4348567,Low
Varanasi,25.3176,82.9739,7.534185,Low
Salem,11.6643,78.146,3.867934,Low
Agra,27.1767,78.0081,3.524448,Low
Lucknow,26.8467,80.9462,49.502567,Medium
Kutch,23.7337,69.8597,96.73741,Critical
Vadodara,22.3072,73.1812,0.8442473,Low
Ballari,15.1394,76.9214,98.866394,Critical
Varanasi,25.3176,82.9739,2.561705,Low
Agra,27.1767,78.0081,1.8211749,Low
Ahmedabad,23.0225,72.5714,86.905014,Critical
Surat,21.1702,72.8311,91.71297,Critical
Belagavi,15.8497,74.4977,96.35137,Critical
Bengaluru Urban,12.9716,77.5946,7.8011217,Low
Thane,19.2183,72.9781,98.56713,Critical
Angul,20.8444,85.1511,21.842478,Low
Lucknow,26.8467,80.9462,97.30313,Critical
Agra,27.1767,78.0081,15.456468,Low
Belagavi,15.8497,74.4977,1.075558,Low
Ballari,15.1394,76.9214,96.02965,Critical
Pune,18.5204,73.8567,4.2839828,Low
Sundargarh,22.1167,84.0333,77.57556,High
Thane,19.2183,72.9781,0.98573744,Low
Khordha,20.1734,85.6745,18.429163,Low
Madurai,9.9252,78.1198,6.712941,Low
Varanasi,25.3176,82.9739,1.6793888,Low
Nagpur,21.1458,79.0882,95.643745,Critical
Mysuru,12.2958,76.6394,89.19251,Critical
Nagpur,21.1458,79.0882,0.89334613,Low
Coimbatore,11.0168,76.9558,39.755806,Low
Aurangabad,19.8762,75.3433,4.2999935,Low
Prayagraj,25.4358,81.8463,12.217695,Low
Kanchipuram,12.8342,79.7036,1.5577021,Low
Tumakuru,13.3409,77.101,1.9405947,Low
Ballari,15.1394,76.9214,10.587094,Low
Ahmedabad,23.0225,72.5714,60.23976,Medium
Coimbatore,11.0168,76.9558,5.9567266,Low
Ahmedabad,23.0225,72.5714,98.82092,Critical
Ahmedabad,23.0225,72.5714,84.741554,Critical
Gautam Buddha Nagar,28.5355,77.391,1.4598559,Low
Pune,18.5204,73.8567,18.718819,Low
Ballari,15.1394,76.9214,4.97784,Low
Tumakuru,13.3409,77.101,7.24844,Low
Pune,18.5204,73.8567,80.14342,Critical
Mysuru,12.2958,76.6394,11.851545,Low
Nagpur,21.1458,79.0882,2.2406251,Low
Coimbatore,11.0168,76.9558,98.66503,Critical
Varanasi,25.3176,82.9739,20.060822,Low
Varanasi,25.3176,82.9739,2.4123974,Low
Varanasi,25.3176,82.9739,1.1320642,Low
Pune,18.5204,73.8567,1.107038,Low
Thane,19.2183,72.9781,2.8300867,Low
Jajpur,20.85,86.333,2.3765416,Low
Ballari,15.1394,76.9214,98.56235,Critical
Mysuru,12.2958,76.6394,2.7828164,Low
Sambalpur,21.4669,83.9812,97.63479,Critical
Sambalpur,21.4669,83.9812,78.01681,High
Agra,27.1767,78.0081,2.233754,Low
Khordha,20.1734,85.6745,1.5035737,Low
Nagpur,21.1458,79.0882,2.3864462,Low
Ahmedabad,23.0225,72.5714,33.78228,Low
Nagpur,21.1458,79.0882,97.85738,Critical
Angul,20.8444,85.1511,97.89522,Critical
Ballari,15.1394,76.9214,46.961166,Medium
Nashik,19.9975,73.7898,34.724773,Low
Tumakuru,13.3409,77.101,7.062341,Low
Nagpur,21.1458,79.0882,30.887493,Low
Bengaluru Urban,12.9716,77.5946,97.21722,Critical
Tiruvallur,13.1439,79.9089,94.557014,Critical
Aurangabad,19.8762,75.3433,1.428613,Low
Tumakuru,13.3409,77.101,97.19429,Critical
Kutch,23.7337,69.8597,1.2040397,Low
Varanasi,25.3176,82.9739,98.96047,Critical
Aurangabad,19.8762,75.3433,1.3235072,Low
Ahmedabad,23.0225,72.5714,3.8934815,Low
Lucknow,26.8467,80.9462,98.51076,Critical
Thane,19.2183,72.9781,13.992856,Low
Ahmedabad,23.0225,72.5714,92.23766,Critical
Kutch,23.7337,69.8597,1.4372754,Low
Kanchipuram,12.8342,79.7036,26.334806,Low
Bharuch,21.7051,72.9959,12.487817,Low
Kanchipuram,12.8342,79.7036,55.481857,Medium
Sambalpur,21.4669,83.9812,5.4452605,Low
Bengaluru Urban,12.9716,77.5946,3.6427245,Low
Varanasi,25.3176,82.9739,12.1174345,Low
Bengaluru Urban,12.9716,77.5946,68.59299,High
Bengaluru Urban,12.9716,77.5946,10.736385,Low
Madurai,9.9252,78.1198,19.14388,Low
Mysuru,12.2958,76.6394,91.192635,Critical
Bharuch,21.7051,72.9959,90.303116,Critical
Madurai,9.9252,78.1198,14.7320795,Low
Ballari,15.1394,76.9214,24.299381,Low
Madurai,9.9252,78.1198,1.7532269,Low
Sundargarh,22.1167,84.0333,99.21807,Critical
Salem,11.6643,78.146,89.38958,Critical
Pune,18.5204,73.8567,58.64026,Medium
Kutch,23.7337,69.8597,90.356155,Critical
Prayagraj,25.4358,81.8463,2.1035683,Low
Aurangabad,19.8762,75.3433,37.78139,Low
Nashik,19.9975,73.7898,66.84648,High
Aurangabad,19.8762,75.3433,2.1886544,Low
Bengaluru Urban,12.9716,77.5946,4.1819725,Low
Madurai,9.9252,78.1198,7.322097,Low
Kanchipuram,12.8342,79.7036,98.96239,Critical
Belagavi,15.8497,74.4977,2.9358354,Low
Vadodara,22.3072,73.1812,6.916715,Low
Mysuru,12.2958,76.6394,7.505726,Low
Bengaluru Urban,12.9716,77.5946,2.2616963,Low
Belagavi,15.8497,74.4977,1.874736,Low
Vadodara,22.3072,73.1812,98.696724,Critical
Vadodara,22.3072,73.1812,13.516261,Low
Angul,20.8444,85.1511,1.5936881,Low
Khordha,20.1734,85.6745,94.15781,Critical
Sundargarh,22.1167,84.0333,3.431691,Low
Sambalpur,21.4669,83.9812,95.008835,Critical
Coimbatore,11.0168,76.9558,12.930183,Low
Nagpur,21.1458,79.0882,15.8537445,Low
Nagpur,21.1458,79.0882,85.05619,Critical
Khordha,20.1734,85.6745,92.54295,Critical
Khordha,20.1734,85.6745,22.970922,Low
Gautam Buddha Nagar,28.5355,77.391,7.056801,Low
Nagpur,21.1458,79.0882,12.157183,Low
Gautam Buddha Nagar,28.5355,77.391,14.29112,Low
Lucknow,26.8467,80.9462,11.203669,Low
Bengaluru Urban,12.9716,77.5946,6.6158185,Low
Tiruvallur,13.1439,79.9089,21.472008,Low
Ahmedabad,23.0225,72.5714,0.8873557,Low
Pune,18.5204,73.8567,11.28143,Low
Khordha,20.1734,85.6745,0.46734017,Low
Khordha,20.1734,85.6745,27.232037,Low
Bharuch,21.7051,72.9959,3.4016516,Low
Aurangabad,19.8762,75.3433,10.657522,Low
Khordha,20.1734,85.6745,1.9339817,Low
Angul,20.8444,85.1511,7.1487174,Low
Mysuru,12.2958,76.6394,0.35821453,Low
Prayagraj,25.4358,81.8463,92.30109,Critical
Khordha,20.1734,85.6745,15.937721,Low
Madurai,9.9252,78.1198,10.771825,Low
Thane,19.2183,72.9781,15.308958,Low
Tiruvallur,13.1439,79.9089,4.5047626,Low
Bharuch,21.7051,72.9959,1.1457449,Low
Ballari,15.1394,76.9214,4.3378005,Low
Pune,18.5204,73.8567,10.160952,Low
Belagavi,15.8497,74.4977,4.875778,Low
Agra,27.1767,78.0081,4.8297076,Low
Sundargarh,22.1167,84.0333,97.927895,Critical
Nashik,19.9975,73.7898,12.559726,Low
Ahmedabad,23.0225,72.5714,13.278993,Low
Gautam Buddha Nagar,28.5355,77.391,42.203667,Low
Agra,27.1767,78.0081,5.1211348,Low
Ballari,15.1394,76.9214,8.501368,Low
Gautam Buddha Nagar,28.5355,77.391,95.989784,Critical
Pune,18.5204,73.8567,39.478294,Low
Tumakuru,13.3409,77.101,15.094906,Low
Gautam Buddha Nagar,28.5355,77.391,88.54215,Critical
Vadodara,22.3072,73.1812,1.7880045,Low
Kanchipuram,12.8342,79.7036,0.7599178,Low
Pune,18.5204,73.8567,5.840512,Low
Kutch,23.7337,69.8597,4.348859,Low
Kutch,23.7337,69.8597,0.2225907,Low
Bengaluru Urban,12.9716,77.5946,89.89075,Critical
Jajpur,20.85,86.333,9.66363,Low
Mysuru,12.2958,76.6394,11.09201,Low
Pune,18.5204,73.8567,7.97249,Low
Nashik,19.9975,73.7898,13.432436,Low
Bengaluru Urban,12.9716,77.5946,4.968021,Low
Sambalpur,21.4669,83.9812,2.1011627,Low
Belagavi,15.8497,74.4977,4.9439363,Low
Thane,19.2183,72.9781,7.1984634,Low
Jajpur,20.85,86.333,1.9132121,Low
Nashik,19.9975,73.7898,97.98476,Critical
Sambalpur,21.4669,83.9812,92.96034,Critical
Jajpur,20.85,86.333,0.89282113,Low
Bengaluru Urban,12.9716,77.5946,41.997696,Low
Bengaluru Urban,12.9716,77.5946,84.980415,Critical
Belagavi,15.8497,74.4977,30.965504,Low
Sundargarh,22.1167,84.0333,91.92611,Critical
Sundargarh,22.1167,84.0333,0.90392286,Low
Pune,18.5204,73.8567,78.88842,High
Surat,21.1702,72.8311,0.8208936,Low
Belagavi,15.8497,74.4977,8.595057,Low
Kanchipuram,12.8342,79.7036,7.01448,Low
Aurangabad,19.8762,75.3433,99.27851,Critical
Nashik,19.9975,73.7898,1.8281065,Low
Lucknow,26.8467,80.9462,0.8675789,Low
Bengaluru Urban,12.9716,77.5946,88.887314,Critical
Pune,18.5204,73.8567,3.9539921,Low
Lucknow,26.8467,80.9462,97.18392,Critical
Salem,11.6643,78.146,15.775208,Low
Coimbatore,11.0168,76.9558,87.96486,Critical
Tumakuru,13.3409,77.101,8.180711,Low
Jajpur,20.85,86.333,3.987772,Low
Agra,27.1767,78.0081,11.658708,Low
Jajpur,20.85,86.333,4.0622435,Low
Tiruvallur,13.1439,79.9089,16.90232,Low
Tiruvallur,13.1439,79.9089,10.531347,Low
Surat,21.1702,72.8311,16.120062,Low
Ahmedabad,23.0225,72.5714,2.1477895,Low
Vadodara,22.3072,73.1812,9.421381,Low
Ahmedabad,23.0225,72.5714,12.884988,Low
Thane,19.2183,72.9781,89.78341,Critical
Surat,21.1702,72.8311,7.9018607,Low
Nagpur,21.1458,79.0882,95.95186,Critical
Aurangabad,19.8762,75.3433,7.4450502,Low
Ballari,15.1394,76.9214,93.04325,Critical
Nagpur,21.1458,79.0882,4.0041447,Low
Nagpur,21.1458,79.0882,76.96584,High
Vadodara,22.3072,73.1812,1.5375646,Low
Nagpur,21.1458,79.0882,34.6627,Low
Khordha,20.1734,85.6745,1.7194653,Low
Vadodara,22.3072,73.1812,8.429362,Low
Varanasi,25.3176,82.9739,99.390335,Critical
Vadodara,22.3072,73.1812,18.004808,Low
Thane,19.2183,72.9781,98.21536,Critical
Jajpur,20.85,86.333,0.7587055,Low
Kutch,23.7337,69.8597,30.140055,Low
Angul,20.8444,85.1511,3.5598953,Low
Lucknow,26.8467,80.9462,93.897255,Critical
Tiruvallur,13.1439,79.9089,4.106953,Low
Varanasi,25.3176,82.9739,74.971085,High
Salem,11.6643,78.146,4.8700557,Low
Mysuru,12.2958,76.6394,99.416824,Critical
Kanchipuram,12.8342,79.7036,94.7891,Critical
Mysuru,12.2958,76.6394,16.341967,Low
Kutch,23.7337,69.8597,14.8122,Low
Ballari,15.1394,76.9214,81.31583,Critical
Sundargarh,22.1167,84.0333,97.78482,Critical
Belagavi,15.8497,74.4977,94.46503,Critical
Sambalpur,21.4669,83.9812,94.65158,Critical
Madurai,9.9252,78.1198,1.5127296,Low
Salem,11.6643,78.146,0.38790244,Low
Madurai,9.9252,78.1198,2.727478,Low
Belagavi,15.8497,74.4977,5.857809,Low
Madurai,9.9252,78.1198,2.322107,Low
Belagavi,15.8497,74.4977,95.85529,Critical
Bengaluru Urban,12.9716,77.5946,10.687315,Low
Aurangabad,19.8762,75.3433,8.940998,Low
Nagpur,21.1458,79.0882,4.1896715,Low
Mysuru,12.2958,76.6394,97.74567,Critical
Angul,20.8444,85.1511,16.106178,Low
Surat,21.1702,72.8311,99.18552,Critical
Prayagraj,25.4358,81.8463,78.443924,High
Aurangabad,19.8762,75.3433,4.9920053,Low
Bengaluru Urban,12.9716,77.5946,1.3759995,Low
Agra,27.1767,78.0081,90.02362,Critical
Nagpur,21.1458,79.0882,96.84272,Critical
Bharuch,21.7051,72.9959,12.299921,Low
Khordha,20.1734,85.6745,4.972886,Low
Tumakuru,13.3409,77.101,14.800969,Low
Bharuch,21.7051,72.9959,97.32198,Critical
Pune,18.5204,73.8567,98.83422,Critical
Belagavi,15.8497,74.4977,95.27799,Critical
Lucknow,26.8467,80.9462,94.70948,Critical
Madurai,9.9252,78.1198,1.7634548,Low
Khordha,20.1734,85.6745,1.7209865,Low
Aurangabad,19.8762,75.3433,95.60812,Critical
Angul,20.8444,85.1511,8.312101,Low
Bengaluru Urban,12.9716,77.5946,84.37692,Critical
Kanchipuram,12.8342,79.7036,5.073715,Low
Vadodara,22.3072,73.1812,3.2361486,Low
Sundargarh,22.1167,84.0333,1.9795839,Low
Gautam Buddha Nagar,28.5355,77.391,92.3666,Critical
Thane,19.2183,72.9781,1.1306177,Low
Agra,27.1767,78.0081,7.4403076,Low
Sambalpur,21.4669,83.9812,95.52303,Critical
Kanchipuram,12.8342,79.7036,99.54851,Critical
Bharuch,21.7051,72.9959,3.0023847,Low
Ahmedabad,23.0225,72.5714,93.75929,Critical
Varanasi,25.3176,82.9739,12.353858,Low
Tumakuru,13.3409,77.101,3.0652766,Low
Bengaluru Urban,12.9716,77.5946,0.67842525,Low
Salem,11.6643,78.146,83.88847,Critical
Ahmedabad,23.0225,72.5714,3.1247363,Low
Varanasi,25.3176,82.9739,1.3557391,Low
Varanasi,25.3176,82.9739,19.854692,Low
Agra,27.1767,78.0081,0.54877675,Low
Sundargarh,22.1167,84.0333,1.0766442,Low
Salem,11.6643,78.146,6.5493145,Low
Belagavi,15.8497,74.4977,27.504189,Low
Bengaluru Urban,12.9716,77.5946,0.5828339,Low
Sundargarh,22.1167,84.0333,99.24752,Critical
Thane,19.2183,72.9781,96.513725,Critical
Khordha,20.1734,85.6745,99.19477,Critical
Tiruvallur,13.1439,79.9089,1.2827553,Low
Agra,27.1767,78.0081,1.3924472,Low
Jajpur,20.85,86.333,5.990054,Low
Gautam Buddha Nagar,28.5355,77.391,10.023937,Low
Tiruvallur,13.1439,79.9089,97.49376,Critical
Coimbatore,11.0168,76.9558,98.04462,Critical
Ahmedabad,23.0225,72.5714,90.65439,Critical
Gautam Buddha Nagar,28.5355,77.391,16.668865,Low
Bengaluru Urban,12.9716,77.5946,11.343646,Low
Sambalpur,21.4669,83.9812,0.7648367,Low
Salem,11.6643,78.146,5.808832,Low
Prayagraj,25.4358,81.8463,99.44395,Critical
Aurangabad,19.8762,75.3433,90.68996,Critical
Kutch,23.7337,69.8597,18.797503,Low
Thane,19.2183,72.9781,5.740746,Low
Madurai,9.9252,78.1198,1.3696839,Low
Nashik,19.9975,73.7898,5.9620285,Low
Pune,18.5204,73.8567,98.26909,Critical
Ahmedabad,23.0225,72.5714,11.605573,Low
Surat,21.1702,72.8311,16.530163,Low
Bharuch,21.7051,72.9959,88.84944,Critical
Vadodara,22.3072,73.1812,3.8445692,Low
Pune,18.5204,73.8567,8.8889475,Low
Ballari,15.1394,76.9214,8.305027,Low
Belagavi,15.8497,74.4977,6.698382,Low
Surat,21.1702,72.8311,13.806412,Low
Khordha,20.1734,85.6745,25.851187,Low
Agra,27.1767,78.0081,0.86541826,Low
Coimbatore,11.0168,76.9558,33.48016,Low
Khordha,20.1734,85.6745,7.676921,Low
Tiruvallur,13.1439,79.9089,3.6199696,Low
Khordha,20.1734,85.6745,61.524845,Medium
Khordha,20.1734,85.6745,1.0145471,Low
Mysuru,12.2958,76.6394,96.64142,Critical
Agra,27.1767,78.0081,3.2000477,Low
Jajpur,20.85,86.333,5.414141,Low
Ahmedabad,23.0225,72.5714,46.48408,Medium
Coimbatore,11.0168,76.9558,58.995743,Medium
Tumakuru,13.3409,77.101,96.30493,Critical
